date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,accum_dist,atr,cmo,cmf,cci,ema_fast,ema_slow,hma_fast,hma_slow,mfi,obv,sma,percent_k,percent_d,smoothed_ma,true_range,ulti_osc,volatility,rsi,williams,trend,trend_nextday
2013-03-08 22:00:00,142.364,143.234,144.771,142.226,142.406,143.329,144.813,142.317,101954,3529327.7930729534,4.275534509888404,94.34343434343414,0.36563951529789923,10.395229765905537,142.0479040642389,141.45251286205993,143.00544444444446,142.10621666666665,85.34946800018514,2173793.0,141.03619999999998,1.0,0.8723544973544971,142.13018027615553,-67.12369252910487,28.3035033014528,0.829080945787128,16.032863499167888,-67.12369252910487,0,1.0
2013-03-10 21:00:00,143.234,143.157,143.234,142.988,143.329,143.214,143.39,143.143,166,3529257.226271334,4.205281058899564,87.76649746192831,0.46252711869319807,7.851723115954865,142.43401267873494,141.7119063059459,143.7042857142857,142.7449,88.37411078784669,2173627.0,141.445,0.9678141617688193,0.9892713872562732,142.23856224853998,-67.27146565238623,24.146843049419147,0.8479835676396719,14.494868031015642,-67.27146565238623,1,0.0
2013-03-11 21:00:00,143.157,143.596,143.783,142.803,143.214,143.638,143.811,142.831,61833,3569259.3915774566,4.112152953009606,87.16719914802917,0.42864349029447735,6.920348306262231,142.8394531238994,142.0086295653919,144.01159523809523,143.31864761904762,85.84844950619556,2235460.0,141.83319999999998,1.0,0.9892713872562732,142.37850602368596,-66.72663257176633,28.054498262560497,0.8331534918760392,18.468236318799427,-66.72663257176633,0,1.0
2013-03-12 21:00:00,143.596,143.155,144.128,141.998,143.638,143.199,144.157,142.023,93209,3578781.2106964826,3.9889376577086444,64.2199421204944,0.41105118224147175,4.595538644623731,143.00401394660844,142.17867446082064,143.81310317460319,143.68012301587302,75.58425980317239,2142251.0,142.11669999999998,0.8475694444444466,0.9384612020710886,142.46055542131737,-67.2907404075968,28.237915653348423,0.8708012716539355,12.031083068031549,-67.2907404075968,1,1.0
2013-03-13 21:00:00,143.155,143.414,143.808,142.632,143.199,143.459,143.835,142.662,91441,3611600.188531094,3.8612438919377805,65.06550218340602,0.34836147630880027,4.152736600134511,143.2073000633937,142.43704271189887,143.6053134920635,143.9090246031746,75.64861566592215,2233692.0,142.3868,0.9339970501474923,0.9271888315306462,142.56039987918564,-66.95664465061293,28.91322815922832,0.9006573667175657,14.996599908273481,-66.95664465061293,1,0.0
2013-03-14 21:00:00,143.414,144.913,145.008,143.013,143.459,144.955,145.039,143.046,91938,3695788.271822617,3.8572195027440053,73.09594460929765,0.41653315133057217,6.857561957386366,143.78486962034233,142.8939369442144,144.24896428571427,144.28051349206348,75.52337146083435,2325630.0,142.78969999999998,1.0,0.9271888315306462,142.79985989126706,-65.03430906427486,32.61883905175664,0.8036997305992795,26.65397674103403,-65.03430906427486,0,0.0
2013-03-15 21:00:00,144.913,143.985,145.865,143.793,144.955,144.049,145.89,143.822,95133,3621540.3695015344,3.8535975524696076,49.95715509854331,0.22099796048608855,6.361998275186245,143.91417686835246,143.13718333203016,144.60835714285713,144.51777619047618,78.48171618131593,2230497.0,143.0686,0.7628892959958127,0.8989621153811017,142.92477390214034,-66.19850427899566,27.157744688360168,0.8518970524415422,15.448903423747907,-66.19850427899566,0,1.0
2013-03-17 21:00:00,143.985,142.589,143.985,142.553,144.049,142.753,144.049,142.716,32,3621510.1459456454,3.8334377972226483,20.82734846308502,0.21916007516503017,-0.06832632083558568,143.60169993660634,143.13561869095588,143.840623015873,144.37045952380956,66.72224362485868,2230465.0,143.23049999999998,0.39704271631981997,0.7199773374385442,142.9075965119263,-67.86384312919228,23.94315059917311,1.0292252017775498,-2.360484630216945,-67.86384312919228,1,0.0
2013-03-18 21:00:00,142.589,143.828,144.348,142.256,142.753,143.874,144.368,142.371,107511,3675830.9266166515,3.7049940175003835,21.03151862464154,0.23610044794928597,0.44174681173496644,143.69519264633374,143.29884138095207,143.37767857142853,144.1871261904762,63.1150600229147,2337976.0,143.48760000000001,0.5759121224009358,0.5786147115721895,143.00423686073367,-66.42337642311944,29.45543299762748,1.408905351333106,10.992657185071863,-66.42337642311944,0,1.0
2013-03-19 21:00:00,143.828,143.673,144.628,143.148,143.874,143.712,144.655,143.179,97501,3648747.3155055386,3.554694615750347,6.15854639009452,0.13519282589605347,0.9445652191203595,143.7022443473973,143.41184138255358,143.44150793650792,144.0317238095238,64.97478744356359,2240475.0,143.61820000000003,0.4355131698455911,0.46948933618878225,143.0750131746603,-66.63154377939402,29.266658752079827,1.665663047172958,8.945191175551301,-66.63154377939402,1,0.0
2013-03-20 21:00:00,143.673,144.982,145.259,143.225,143.712,145.009,145.28,143.253,103791,3724785.615949543,3.4248251541753123,24.25347925955922,0.2632233610663044,3.1707106182394833,144.09863936042825,143.70272579463423,144.31795634920636,144.1782611111111,65.00631865868226,2344266.0,143.7862,1.0,0.670475097415509,143.26841185719428,-64.96491994551671,32.26140667193076,1.367547718607462,19.907229599636565,-64.96491994551671,0,0.0
2013-03-21 21:00:00,144.982,143.967,145.211,143.404,145.009,144.013,145.239,143.447,113553,3682963.640503115,3.30794263875778,4.703373886868172,0.17957573554257272,1.6693782171745184,144.09856497851658,143.80394105218343,144.60074206349208,144.24820158730157,64.78101232365854,2230713.0,143.8661,0.5585106382978808,0.6646746027144906,143.34287067147486,-66.2447636915011,31.82282469208481,1.4185485084535439,8.515907210598115,-66.2447636915011,0,0.0
2013-03-22 21:00:00,143.967,143.889,144.536,143.018,144.013,144.007,144.559,143.045,103891,3711097.9271609765,3.2027483748820025,10.71618037135266,0.15794937147385263,0.05869732195335519,144.03916468267943,143.88722324195084,144.38471031746036,144.24084126984124,56.16085423359506,2126822.0,143.903,0.5558510638297957,0.7047872340425588,143.40928360432736,-66.25247359358536,29.233044314126243,1.4258667867683705,8.439660072786609,-66.25247359358536,0,0.0
2013-03-24 21:00:00,143.889,143.78,143.889,143.561,144.007,143.866,144.007,143.718,196,3711102.674565821,3.108073537393802,5.48443605983034,0.16437714381640695,-0.2594553534436585,143.98882587870676,143.91474228869177,143.99970238095247,144.17311666666663,53.519897711690234,2126626.0,143.9697,0.4933510638297996,0.5359042553191588,143.45495524389463,-66.43365629256508,27.560160970632257,1.5214495724640993,6.448762585486364,-66.43365629256508,0,1.0
2013-03-25 21:00:00,143.78,142.869,144.776,141.875,143.866,142.926,144.798,141.913,107917,3678970.7151204124,3.0228661836544215,-29.555717407137855,0.08201285583077718,-2.7947839495490867,143.72978192575897,143.77453287985426,143.31502380952384,143.95807698412696,48.15888578756669,2018709.0,143.9164,0.07668439716312137,0.3752955082742389,143.40205971950516,-67.64154095242992,31.59491757504242,1.385552505550384,-8.298626209331672,-67.64154095242992,1,0.0
2013-03-26 21:00:00,142.869,143.145,143.533,142.467,142.926,143.202,143.561,142.501,89674,3707903.269837392,2.946179565288979,-13.584603047313596,0.014788833988780316,-2.7887163612122383,143.57195661055152,143.6979457202472,142.90384126984125,143.68660396825396,36.12385828042428,2108383.0,143.74110000000002,0.19902482269504088,0.2563534278959873,143.38205374755464,-67.2868854565547,29.38400219479678,1.536448019891839,-3.1813033151774164,-67.2868854565547,0,1.0
2013-03-27 21:00:00,143.145,142.878,143.801,142.028,143.202,142.903,143.828,142.06,76933,3704335.110335129,2.877161608760081,2.8636884306988333,0.10336434981016716,-2.7570593785856303,143.37356152708318,143.57667461709158,142.69788492063492,143.35964365079363,24.998273119639023,2031450.0,143.6265,0.06648936170213017,0.1140661938534308,143.33414837279918,-67.67109557708618,31.05286918638277,1.448624626411811,-8.464224132748214,-67.67109557708618,1,1.0
